epoch,rn50,vits,swint,mixer,gmlp
0,0.214,0.368,0.392,0.45,0.234
1,7.658,4.274,5.412,4.912,5.342000015
2,13.466,8.338,14.38,13.886,13.76000005
3,20.128,11.874,21.234,21.028,22.49000005
4,25.636,17.126,26.434,26.674,29.57400002
5,34.568,21.632,31.81,30.222,35.3
6,39.016,27.34,36.992,34.54,39.96600001
7,42.436,31.382,40.844,37.95,43.418
8,47.34,35.156,45.854,40.974,46.27199995
9,49.442,37.508,49.144,42.346,48.50200001
10,49.534,40.202,51.694,45.188,50.58999994
11,51.462,42.514,53.532,46.65,52.28000012
12,53.422,43.996,55.406,48.426,53.54600006
13,55.578,45.826,56.482,49.428,55.01600011
14,57.018,46.992,58.258,50.97,55.98200003
15,57.196,48.284,60.052,51.828,57.24000007
16,58.032,49.552,60.874,52.87,58.09999996
17,59.788,50.24,61.754,53.57,58.78600009
18,58.244,51.648,62.248,54.306,58.86399997
19,59.384,52.576,63.59,55.152,60.09599999
20,60.744,53.114,63.942,55.798,60.84000014
21,59.234,54.082,64.402,56.592,60.94199999
22,60.172,54.822,65.11,56.936,61.55000012
23,61.07,55.122,65.928,57.728,62.07400004
24,61.7,56.062,65.734,58.34,62.46199998
25,61.486,56.818,66.294,58.68,62.88799996
26,63.228,57.166,66.638,59.264,63.30399993
27,62.946,57.738,67.106,59.516,63.65000003
28,61.97,58.154,67.324,59.676,63.946
29,63.606,58.456,67.568,60.206,63.95200006
30,62.846,58.818,68.466,60.538,64.24000003
31,63.766,59.636,68.516,60.844,64.41800013
32,61.73,59.76,68.562,61.128,65.01800001
33,63.374,59.952,68.714,61.338,65.03600003
34,64.012,60.542,68.892,61.756,65.25400005
35,63.266,60.712,69.498,62.416,65.51999997
36,64.748,60.664,69.424,61.85,65.35399998
37,64.454,61.09,69.428,62.594,65.67399995
38,64.976,61.532,69.694,62.704,66.10600005
39,65.202,62.084,69.954,62.96,66.12800008
40,66.192,62.41,69.826,63.028,66.25000003
41,65.798,62.362,70.408,63.392,66.71000003
42,64.432,62.764,70.346,63.348,66.526
43,64.478,63.042,70.412,63.978,66.75
44,65.174,63.414,70.826,63.926,66.97600005
45,66.428,64.062,70.614,64.092,67.29200002
46,66.412,63.73,70.752,64.048,67.33600006
47,66.014,64.416,70.786,64.674,67.41200005
48,65.618,64.458,70.776,64.53,67.66399995
49,65.204,64.572,70.912,64.768,67.54000005
50,66.016,64.606,71.276,64.596,67.31600003
51,66.408,64.83,71.274,65.1,67.8859999
52,65.88,65.202,71.712,65.444,68.01199998
53,67.252,65.146,71.656,65.122,68.07200012
54,66.576,65.658,71.758,65.626,68.04000002
55,65.71,66.012,71.704,65.48,68.50200005
56,65.698,66.19,71.754,65.452,68.44000005
57,66.18,66.45,71.782,65.514,68.52400005
58,67.936,66.538,72.08,66.072,68.466
59,67.03,66.55,72.228,66.078,68.71799998
60,68.232,66.694,72.408,66.078,68.84599997
61,66.218,66.67,72.458,66.354,68.78800003
62,67.048,66.97,72.292,66.398,68.87600015
63,66.904,67.412,72.574,66.454,68.80800005
64,67.39,66.866,72.442,66.64,69.1220001
65,66.384,67.752,72.596,66.272,69.09799997
66,66.702,67.284,72.688,66.764,69.438
67,66.878,67.416,72.798,66.81,69.38800005
68,68.624,67.388,72.708,67.192,69.1800001
69,67.518,67.946,73.154,67.336,69.43399987
70,67.766,67.906,73.06,67.376,69.75600009
71,68.24,68.004,73.134,67.404,69.70000007
72,66.432,68.588,72.898,67.528,69.53999997
73,68.182,68.252,73.042,67.428,69.852
74,68.872,68.392,73.51,67.482,70.024
75,68.78,68.614,73.182,67.672,69.97
76,68.81,68.224,73.57,67.46,69.63000008
77,68.672,68.542,73.204,67.548,69.79800004
78,68.456,68.49,73.614,68.034,70.01599989
79,65.772,68.74,73.648,68.248,70.13400002
80,68.76,68.932,73.302,68.234,69.874
81,68.64,68.858,73.504,68.482,70.16800015
82,67.908,68.64,73.574,68.21,70.39400005
83,68.87,68.72,73.698,68.1,70.55800012
84,68.576,69.156,73.686,68.184,70.556
85,69.292,69.4,73.996,68.404,70.77599999
86,68.69,69.558,73.926,68.448,70.55400005
87,67.896,69.454,73.594,68.414,70.57800007
88,69.32,69.636,73.608,68.608,70.78200002
89,68.648,69.5,73.94,68.714,71.15000009
90,70.358,69.762,74.038,68.87,71.05000005
91,68.97,69.906,73.748,68.644,70.85600001
92,69.244,69.698,74.098,68.636,70.72000007
93,68.328,69.662,73.836,68.862,70.94799993
94,68.754,69.83,74.296,68.962,70.97400009
95,69.384,70.258,74.462,69.098,71.1640001
96,67.59,70.416,74.43,69.256,71.37999996
97,68.922,70.066,74.468,69.118,71.34400004
98,68.684,70.068,74.166,69.206,71.37399991
99,69.716,69.914,74.102,69.66,71.28399995
100,69.83,70.242,74.574,69.21,71.17199999
101,69.034,70.51,74.466,69.38,71.49600007
102,69.53,70.81,74.696,69.544,71.42399994
103,70.542,70.304,74.67,69.682,71.36999989
104,69.872,70.718,74.504,69.608,71.42399996
105,69.334,70.742,74.64,69.744,71.49600009
106,69.156,70.706,74.534,69.9,71.65399997
107,68.044,70.892,74.936,69.638,71.50999991
108,70.35,71.19,74.644,69.696,71.73200004
109,69.772,70.968,74.924,70.14,71.88399994
110,70.326,71.07,75.002,69.834,71.76200002
111,70.07,70.952,75.136,70.028,71.54000007
112,69.922,71.308,75.074,70.424,71.95000007
113,70.682,71.142,74.986,70.24,72.2080001
114,69.928,71.44,75.222,70.162,72.1580001
115,69.382,71.404,75.058,70.452,72.09999991
116,70.59,71.438,75.32,70.124,72.24799999
117,70.9,71.622,75.188,70.308,72.34200012
118,70.376,71.318,75.22,70.632,72.09999996
119,69.978,71.71,75.234,70.454,72.25799999
120,70.322,71.762,75.332,70.614,72.17999996
121,70.934,72.018,75.292,70.798,72.27400014
122,71.12,71.75,75.478,70.804,72.61600001
123,71.388,71.634,75.37,70.856,72.75599986
124,70.322,72.07,75.392,70.956,72.46200007
125,70.868,72.066,75.636,71.184,72.7240001
126,71.226,72.054,75.594,71.162,72.81000001
127,71.304,72.044,75.604,70.652,72.48800003
128,70.928,72.072,75.574,71.132,72.84800001
129,71.588,72.12,75.736,70.926,73.01199993
130,69.926,72.362,75.84,71.664,72.89999996
131,71.702,72.454,75.952,71.362,72.84200003
132,70.048,72.418,76.094,71.474,73.14599997
133,71.024,72.506,75.858,71.266,73.05000002
134,71.28,72.712,76.002,71.184,73.09200004
135,71.878,72.636,76.112,71.638,73.13400001
136,71.564,72.852,75.958,71.444,73.18000009
137,71.096,72.818,76.258,71.548,73.07200017
138,71.02,72.846,76.356,71.262,73.36000004
139,70.498,73.04,76.118,71.846,72.90600001
140,71.436,73.04,76.1,71.588,73.40800002
141,71.374,72.712,76.45,71.904,73.31999996
142,71.376,73.152,76.108,71.624,73.31799999
143,72.24,73.262,76.402,71.912,73.70400014
144,71.698,73.18,76.3,72.084,73.65600001
145,72.072,73.218,76.456,71.896,73.62200004
146,71.834,73.354,76.598,72.06,73.64800004
147,71.712,73.6,76.692,71.77,73.86600012
148,70.632,73.588,76.584,72.258,73.90600004
149,71.954,73.706,76.626,72.194,74.01000004
150,72.074,73.686,76.784,72.024,74.12799999
151,72.42,73.656,76.628,71.994,73.89999996
152,72.284,73.66,76.612,72.502,74.28000003
153,73.072,73.672,76.62,72.434,73.78600009
154,72.288,73.548,76.938,72.542,73.98200009
155,72.43,74.186,76.842,72.518,74.50800009
156,72.434,73.984,77.036,72.624,74.30000007
157,72.93,74.166,76.986,72.418,73.96200001
158,71.99,74.144,77.182,72.518,73.99599996
159,72.768,74.282,76.81,72.5,73.98800009
160,72.648,74.274,77.01,72.664,74.22399999
161,72.252,74.266,77.046,72.796,74.45800011
162,72.226,74.162,76.952,72.758,74.11400004
163,73.136,74.37,77.4,72.774,74.38000001
164,72.674,74.368,77.478,72.826,74.38199999
165,73.038,74.44,77.182,73.08,74.69599998
166,72.694,74.45,77.256,72.982,74.59600006
167,73.048,74.764,77.24,73.152,74.68199986
168,73.054,75.074,77.538,73.228,74.73999993
169,73.096,74.694,77.584,72.984,74.66000006
170,73.562,74.806,77.354,73.114,74.99000016
171,73.142,74.822,77.476,73.276,74.75399998
172,73.026,74.854,77.568,73.242,74.89600006
173,73.37,75.16,77.646,73.382,75.14000011
174,73.21,74.928,77.598,73.19,75.18400009
175,73.588,75.202,77.688,73.624,74.84600001
176,73.934,75.094,77.596,73.28,74.95600004
177,73.994,74.924,77.728,73.252,74.83800004
178,73.938,75.03,77.726,73.402,75.04800011
179,73.906,75.44,77.86,73.58,75.09400009
180,73.832,75.448,78.016,73.662,75.21200007
181,74.02,75.79,78.072,73.64,75.36800004
182,73.57,75.534,78.134,73.872,75.24600007
183,73.33,75.588,78.032,73.652,75.38800003
184,73.528,75.584,78.09,74.066,75.43600003
185,74.108,75.98,78.108,73.836,75.51800017
186,74.202,75.76,78.03,73.962,75.39800003
187,74.358,75.798,78.164,74,75.43800011
188,74.35,76.016,78.172,73.978,75.88400001
189,74.688,76.204,78.376,73.954,75.74399998
190,74.554,76.026,78.472,73.948,75.56400001
191,74.85,75.954,78.576,73.772,75.72200001
192,74.436,76.366,78.722,74.158,75.63600001
193,74.422,76.29,78.562,73.82,75.7999999
194,73.786,76.218,78.36,74.07,75.66400004
195,74.598,76.26,78.422,74.216,75.92400006
196,75.078,76.396,78.662,74.362,75.98000016
197,74.786,76.534,78.62,74.172,76.06000003
198,74.666,76.644,78.588,74.284,76.14400004
199,75.476,76.442,78.61,74.678,76.21600001
200,74.948,76.556,78.826,74.32,76.14199991
201,74.998,76.664,78.824,74.44,76.15400011
202,75.438,76.76,78.872,74.466,76.39800001
203,75.488,76.788,78.928,74.654,76.27200001
204,74.218,76.758,79.204,74.254,76.57000006
205,75.386,77.026,79.112,74.68,76.52400006
206,75.616,77.132,79.028,74.374,76.66199998
207,75.404,76.944,79.078,74.57,76.67600001
208,75.47,77.212,79.35,74.804,76.66800003
209,75.546,76.956,79.26,74.674,76.52800006
210,76.008,77.328,79.274,74.722,76.79199988
211,75.868,77.276,79.5,74.836,76.62000013
212,75.788,77.218,79.394,74.704,76.75400006
213,75.97,77.436,79.624,74.89,76.95600003
214,75.97,77.224,79.52,74.872,76.58600003
215,75.962,77.508,79.652,74.81,77.08599996
216,75.9,77.588,79.67,74.752,76.88400006
217,75.972,77.532,79.71,74.906,77.02200009
218,76.308,77.878,79.556,74.758,77.06400001
219,75.622,77.626,79.69,74.864,76.85999996
220,76.15,77.69,79.746,75.106,77.09800009
221,75.776,77.634,79.814,75.06,77.14400016
222,76.172,77.714,79.672,74.868,77.20800003
223,76.216,77.898,79.944,74.994,77.22200003
224,76.172,78.14,80.03,74.91,77.06199998
225,76.302,78.106,80.04,74.968,77.20400011
226,76.56,78.022,79.994,75.334,77.45399998
227,76.47,77.992,80.058,74.996,77.25599998
228,76.55,78.218,79.852,75.154,77.32599995
229,76.686,78.232,80.028,75.156,77.35000001
230,77.04,78.238,80.112,75.016,77.45199985
231,76.558,78.27,80.03,75.322,77.416
232,76.812,78.28,80.192,75.062,77.62999993
233,76.92,78.47,80.122,74.942,77.61599998
234,76.85,78.632,80.22,75.282,77.61799996
235,76.604,78.564,80.392,75.352,77.67800003
236,77.1,78.582,80.45,75.152,77.59199995
237,77.134,78.56,80.332,75.362,77.65999998
238,77.018,78.588,80.334,75.182,77.76999993
239,77.196,78.584,80.41,75.216,77.80800003
240,77.312,78.624,80.436,75.518,77.9459999
241,77.35,78.6,80.43,75.354,77.97200006
242,77.382,78.892,80.418,75.44,77.87000004
243,77.418,78.826,80.464,75.496,78.10800006
244,77.518,78.846,80.46,75.264,78.12600006
245,77.426,79.076,80.638,75.378,78.11200003
246,77.422,78.956,80.664,75.438,78.11599993
247,77.66,78.974,80.598,75.49,78.23399998
248,77.688,79.068,80.718,75.616,78.12800001
249,77.61,79.15,80.642,75.224,78.19000014
250,77.782,79.158,80.824,75.422,78.22200016
251,77.584,79.058,80.864,75.334,78.25800011
252,77.882,79.23,80.74,75.54,78.39000003
253,77.84,79.354,80.786,75.648,78.2719999
254,77.67,79.428,80.868,75.522,78.39600003
255,77.754,79.254,80.748,75.51,78.30999996
256,77.86,79.364,80.774,75.416,78.39399993
257,77.994,79.374,80.87,75.472,78.31600008
258,78.046,79.372,80.944,75.432,78.42000013
259,78.016,79.388,80.96,75.532,78.35600003
260,78.272,79.428,80.872,75.558,78.46599995
261,78.178,79.41,80.938,75.59,78.50000003
262,78.198,79.482,81.026,75.572,78.65999993
263,78.068,79.608,80.996,75.584,78.4719999
264,78.15,79.674,80.956,75.614,78.60000003
265,78.246,79.586,80.874,75.802,78.53800006
266,78.3,79.662,80.968,75.57,78.61000008
267,78.266,79.646,81.11,75.7,78.70000003
268,78.254,79.736,81.062,75.69,78.71399998
269,78.454,79.698,80.98,75.73,78.63800006
270,78.454,79.808,81.086,75.522,78.76200006
271,78.458,79.844,81.064,75.63,78.70599995
272,78.514,79.91,81.142,75.744,78.69799993
273,78.532,79.732,81.09,75.69,78.75400006
274,78.522,79.848,81.114,75.592,78.78200006
275,78.45,79.856,81.142,75.522,78.82200008
276,78.496,79.906,81.232,75.792,78.79600011
277,78.56,79.884,81.224,75.638,78.82799996
278,78.638,79.836,81.222,75.836,78.77399998
279,78.518,79.858,81.196,75.732,78.86600008
280,78.544,79.822,81.234,75.722,78.78600003
281,78.616,79.972,81.244,75.582,78.94999998
282,78.628,80.04,81.232,75.714,78.86599998
283,78.562,80.016,81.302,75.796,78.89799998
284,78.684,79.956,81.278,75.662,78.89599998
285,78.682,79.954,81.336,75.82,78.92599993
286,78.71,79.974,81.324,75.736,78.95199988
287,78.73,80.064,81.382,75.774,78.97200003
288,78.638,80.082,81.368,75.79,78.94600008
289,78.73,80.128,81.28,75.798,78.96000008
290,78.704,80.058,81.408,75.734,78.95600011
291,78.73,80.078,81.352,75.724,78.99799993
292,78.744,80.102,81.398,75.734,79.00000003
293,78.728,80.132,81.36,75.758,79.00400003
294,78.724,80.106,81.316,75.732,78.96999998
295,78.704,80.112,81.32,75.748,78.99799988
296,78.708,80.17,81.332,75.826,78.99999988
297,78.724,80.154,81.324,75.76,79.00200008
298,78.698,80.13,81.308,75.764,78.97800008
299,78.74,80.12,81.302,75.794,78.96600013
