epoch,rn50,vits,swint,mixer,gmlp
0,0.162,0.298,0.36,0.132,0.124
1,4.708,2.942,3.283999994,1.910000009,1.51
2,9.476,5.434,8.192000018,6.539999999,6.888
3,14.71,7.778,12.94599999,11.84800001,13.886
4,19.282,10.22,16.24800004,16.19800009,19.724
5,26.678,13.708,17.15600002,20.236,24.696
6,32.308,17.794,21.85600002,24.37999998,29.518
7,34.56,21.194,25.402,27.67400006,33.122
8,36.568,25.044,29.83200002,31.35799997,36.734
9,42.012,27.424,32.58199994,32.82200005,39.256
10,44.268,30.01,36.04800002,35.51600007,41.594
11,46.362,32.536,38.97800006,37.94999993,43.262
12,46.804,34.358,41.75999996,39.32799999,44.496
13,46.462,36.308,43.89200003,40.47199996,45.974
14,49.302,37.632,46.01000007,42.31200005,47.53
15,49.284,39.244,47.87400002,43.17999998,48.374
16,51.308,39.984,49.57400007,44.39599998,49.876
17,49.388,40.994,50.51800001,45.09400005,50.012
18,52.212,42.156,51.52200006,45.97399997,50.46
19,52.314,43.554,52.89000018,46.53800012,51.486
20,53.278,44.642,53.82799999,47.51000017,52.642
21,54.624,45.118,54.81800015,48.84600004,53.21
22,54.06,46.194,55.308,48.94199997,53.452
23,55.648,46.652,55.77,50.35200001,54.584
24,55.312,47.514,56.45400005,49.82600009,54.668
25,54.124,48.556,57.19799997,50.57600003,55.482
26,56.72,48.848,58.18400007,51.9859999,56.022
27,55.746,48.706,57.87400008,51.43799993,56.356
28,55.658,49.808,58.63199996,52.46600001,56.524
29,56.414,50.446,58.75999994,52.67600002,56.684
30,55.724,50.816,60.17199985,52.49800008,57.26
31,57.116,51.436,59.95599999,53.45200008,57.23
32,53.784,51.694,60.09400003,53.94800013,57.752
33,57.85,51.408,60.18600006,53.82600001,57.806
34,57.546,52.52,61.02800004,54.35400008,58.614
35,57.358,52.63,61.5020002,54.55000002,59.086
36,57.018,52.826,61.71999998,54.62200002,58.882
37,58,53.212,61.63400004,54.95400008,59.08
38,57.604,54.284,62.128,55.62999997,59.53
39,58.506,54.528,62.37000006,55.88200005,59.616
40,59.054,54.336,62.46800007,55.94399997,59.5
41,57.946,54.41,62.93399993,55.99200015,60.078
42,58.796,54.652,63.26999996,56.23599999,59.506
43,56.732,55.04,63.09999993,56.81600017,60.338
44,58.874,55.208,63.40600003,57.02400012,60.426
45,58.39,55.866,63.46800001,56.80000007,60.906
46,58.198,56.158,63.62800003,57.20000007,60.728
47,59.69,56.382,63.89800003,57.63600013,61.09
48,56.482,56.568,63.97999992,57.63200005,61.426
49,59.086,57.002,63.74200003,57.924,61.152
50,59.686,57.072,64.65800009,57.89599997,61.32
51,59.096,57.382,64.72399989,58.05199992,61.314
